Id,Start,Name,Impact,Currency
8c830b6a-d583-4ca2-9ebe-4ab355fb54fc,07/03/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
3cfdced8-d9b7-4a1d-b1d0-c38cf35e8ebc,07/03/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
9b4c8638-ce0f-4d3b-b3f6-2e1abb3e7425,07/03/2025 14:00:00,ISM Services PMI,HIGH,USD
26782102-aafe-4eef-b1d1-83969b2ec639,07/09/2025 18:00:00,FOMC Minutes,HIGH,USD
d15033ac-c31b-41da-b481-a877d6512e44,07/15/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
1df6a775-fc28-467e-a187-e25c9b839d82,07/15/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
a9fdc9f8-cbf0-4c55-990f-ab78a29c8e47,07/15/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
c7dd87df-0781-4796-804a-249b87ffb21f,07/15/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
11eeb542-3799-482a-846a-d6595b342b06,07/16/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
d5f05a5d-907c-4947-a57e-4bafcc1c5a22,07/17/2025 12:30:00,Retail Sales (MoM),HIGH,USD
c7c3a72b-2523-4014-aac0-6b07dcdaa73d,07/17/2025 12:30:00,Retail Sales Control Group,HIGH,USD
196658f0-1618-44ab-9d24-7479ddcca26a,07/18/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
838d97ef-2237-42de-8180-b5fee1480f4d,07/24/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
dc066016-54a9-42e5-808f-cf04c23fd8a6,07/24/2025 13:45:00,S&P Global Services PMI,HIGH,USD
d7ccc654-62d6-48d9-b5d5-37a6bfb51ef8,07/30/2025 12:15:00,ADP Employment Change,HIGH,USD
fc0dd83c-dd5a-4f42-8a17-b554229ccaed,07/30/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
9921b73a-a8f0-4f38-b0a3-df8a7ca770a6,07/30/2025 18:00:00,Fed Interest Rate Decision,HIGH,USD
0144a29f-d551-49bc-b3ce-090375f4ea25,07/30/2025 18:00:00,Fed Monetary Policy Statement,HIGH,USD
37324485-69d1-4ef9-a7d4-2656f8c6795e,07/30/2025 18:30:00,FOMC Press Conference,HIGH,USD
f8601446-2c78-4f63-9865-f19eef7d9b03,07/31/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
8d5d4b5c-c4c3-4fbb-a418-bf22e051ab62,07/31/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
